nome_modelo,mse,rmse,tempo_consumo (s),desvio_tempo,memoria_consumo (mb),memoria_max (mb),desvio_memoria
ViTime_30_seg_full,28.44,5.33,0.291,0.07,7.2577,7.2778,0.0037
ViTime_30_seg_fixed,19.91,4.46,0.292,0.05,7.2577,7.2778,0.0037
ViTime_30_seg_moving,19.91,4.46,0.295,0.044,7.2577,7.2778,0.0037
ViTime_1_min_full,30.9,5.56,0.3,0.054,7.2577,7.2778,0.0037
ViTime_1_min_fixed,62.06,7.88,0.302,0.049,7.2577,7.2778,0.0037
ViTime_1_min_moving,62.06,7.88,0.307,0.044,7.2577,7.2778,0.0037
ViTime_5_min_full,22.99,4.8,0.311,0.047,7.2577,7.2778,0.0037
ViTime_5_min_fixed,48.26,6.95,0.313,0.043,7.2577,7.2778,0.0037
ViTime_5_min_moving,683.36,26.14,0.315,0.043,7.2577,7.2778,0.0037
ViTime_10_min_full,54.06,7.35,0.313,0.047,7.2577,7.2778,0.0037
ViTime_10_min_fixed,431.38,20.77,0.31,0.046,7.2577,7.2778,0.0037
ViTime_10_min_moving,42.05,6.48,0.312,0.043,7.2577,7.2778,0.0037
