nome_modelo,mse,rmse,tempo_consumo (s),desvio_tempo,memoria_consumo (mb),memoria_max (mb),desvio_memoria
ViTime_full_30_seg,28.44,5.33,0.289,0.043,7.2577,7.2778,0.0037
ViTime_fixed_30_seg,19.91,4.46,0.293,0.055,7.2577,7.2778,0.0037
ViTime_moving_30_seg,19.91,4.46,0.295,0.043,7.2577,7.2778,0.0037
ViTime_full_1_min,30.9,5.56,0.3,0.042,7.2577,7.2778,0.0037
ViTime_fixed_1_min,62.06,7.88,0.305,0.062,7.2577,7.2778,0.0037
ViTime_moving_1_min,62.06,7.88,0.304,0.041,7.2577,7.2778,0.0037
ViTime_full_5_min,22.99,4.8,0.309,0.042,7.2577,7.2778,0.0037
ViTime_fixed_5_min,48.26,6.95,0.314,0.048,7.2577,7.2778,0.0037
ViTime_moving_5_min,683.36,26.14,0.315,0.04,7.2577,7.2778,0.0037
ViTime_full_10_min,54.06,7.35,0.313,0.043,7.2577,7.2778,0.0037
ViTime_fixed_10_min,431.38,20.77,0.311,0.045,7.2577,7.2778,0.0037
ViTime_moving_10_min,42.05,6.48,0.311,0.047,7.2577,7.2778,0.0037
